5700, 11702, 4562
109852, 109522, 270890
137815, 359315, 73821
123976, 81199, 40906
50996, 167062, 291219
1, 43710, 1
136881, 2416, 100196
497194, 66569, 490258
73123, 157339, 199552
580867, 92265, 119811
291905, 488915, 590305
102707, 142024, 154021
198801, 379288, 334838
301465, 561965, 640582
721138, 721138, 721138
913361, 49275, 121215
257353, 507692, 277736
330942, 330942, 330942
43222, 52826, 5804
372337, 105565, 286008
533985, 401122, 304665
292455, 468250, 340527
119817, 400935, 74623
220564, 5313, 358629
76741, 78234, 279455
264736, 333, 554550
124657, 34826, 55
470238, 231981, 846320
0, 0, 0
38360, 74663, 70016
287054, 52418, 255315
859844, 220005, 244109
294157, 294786, 121836
590756, 637290, 238026
813283, 173739, 39519
775217, 579911, 65984
634175, 85770, 173167
0, 0, 0
152541, 37156, 14594
5493, 37895, 33300
10718, 1124, 18881
80189, 86550, 80718
163928, 866157, 878222
127346, 328877, 409720
88062, 578417, 846532
868275, 696854, 500605
323923, 814051, 133170
25527, 492517, 220034
92307, 459006, 240056
239513, 8373, 30828
13247, 11481, 17219
111319, 21509, 75533
82842, 67367, 30935
340813, 231656, 77084
796736, 592146, 252576
405004, 222095, 368574
479180, 381198, 7850
535940, 55000, 310256
87489, 112752, 74367
207619, 190792, 209638
24242, 484042, 580044
1348, 140, 3820
72164, 15763, 294593
94378, 334439, 585618
2810, 1701, 3745
741650, 747034, 708312
573091, 300411, 716292
85597, 24680, 124121
526120, 526120, 526120
252885, 18248, 303135
1004440, 1004440, 1004440
229410, 257338, 333316
0, 0, 0
32800, 217004, 38316
42548, 828113, 509058
116918, 1202, 59792
185989, 358219, 237504
0, 0, 0
368506, 368506, 368506
63881, 28123, 39643
11582, 747462, 547718
306916, 236950, 162593
201714, 56036, 26686
14099, 22654, 16269
253847, 23260, 261935
359442, 100324, 494650
343454, 180630, 160984
348729, 381511, 295842
263711, 774069, 396691
140727, 234645, 144499
127051, 31002, 60015
136329, 200773, 25034
22447, 65358, 271391
388866, 441127, 19731
11797, 398096, 300938
470262, 470262, 470262
547018, 127950, 224251
404603, 242402, 371004
370422, 221325, 411244
9249, 54118, 590771
170910, 133882, 62531
247828, 247828, 247828
87877, 84043, 163738
500719, 515237, 184132
165053, 167280, 167075
668453, 517774, 76162
259738, 838322, 39866
547975, 43914, 478024
18366, 7748, 1912
368366, 191291, 344127
880588, 880588, 880588
103875, 19596, 80404
221486, 541420, 600954
152387, 69930, 183433
146205, 111045, 581514
5758, 553173, 518167
9114, 262899, 51147
478989, 654641, 519527
477366, 352618, 9906
350270, 202185, 706211
318487, 177650, 12938
69248, 59659, 29681
732325, 17723, 352621
449264, 462160, 290219
95088, 124474, 85468
79982, 398985, 782638
886749, 412012, 958495
64295, 74684, 14191
502135, 474355, 359267
107697, 204352, 395066
364144, 286952, 312087
97028, 436542, 42398
483279, 56901, 371584
217791, 464542, 407697
109358, 131212, 14435
275226, 275226, 275226
26688, 16582, 60263
1, 632328, 1
148963, 403456, 368397
0, 0, 0
841556, 76673, 353946
597562, 338963, 516206
54925, 209592, 69064
16091, 83843, 84896
1, 942690, 1
446395, 371149, 330131
788577, 78169, 370479
1, 799632, 1
1, 1, 1
239875, 342631, 753324
441415, 503219, 249284
1, 988590, 1
50643, 61496, 208432
569360, 303768, 124468
542914, 985361, 303067
115598, 680000, 253424
794566, 638678, 319949
1563, 443, 1710
46298, 206513, 137038
152969, 5885, 215405
107702, 623025, 120349
265846, 223101, 409909
40143, 42381, 165835
75649, 41936, 81811
326061, 453520, 74543
439909, 193667, 49800
681635, 283936, 414044
217939, 76936, 362925
17922, 17922, 17922
377216, 217500, 101555
0, 0, 0
194617, 137736, 124905
117908, 212063, 157866
0, 0, 0
1, 146526, 1
130511, 226786, 156708
128450, 135378, 666846
417646, 44777, 51069
126455, 100078, 58381
464966, 767806, 880005
115024, 100972, 110076
43621, 748757, 396353
907623, 353391, 587246
455500, 395251, 78198
61769, 365567, 361229
336354, 258236, 359604
45395, 49932, 52790
265459, 121955, 217104
163592, 52650, 242457
649660, 82319, 423834
0, 0, 0
40432, 23000, 42717
638671, 1751, 662243
30115, 732642, 52638
251183, 209771, 210940
153148, 281610, 185252
63961, 288687, 132710
405291, 400619, 376451
83748, 139382, 598121
382108, 442462, 487958
99812, 245111, 70773
395914, 333756, 953675
703190, 649067, 851630
125264, 159927, 130505
508903, 187602, 276444
45833, 83923, 40648
600584, 565860, 361393
0, 0, 0
482644, 30805, 94497
389136, 527649, 829203
270389, 288530, 80588
1009913, 297393, 592695
79671, 443247, 62450
67947, 6069, 71742
